ID,Sessao,Hora do Evento,Fase,Nivel,Posicao jogador,Posicao Evento,Tipo de Evento
0,1,15:06:46,1,1,1,2,Criou Alvo
1,1,15:06:50,1,1,2,1,Trocou de Pista
2,1,15:06:51,1,1,1,2,Trocou de Pista
3,1,15:06:52,1,1,0,1,Trocou de Pista
4,1,15:06:53,1,1,-1,0,Saiu da area do jogo
5,1,15:10:59,1,1,1,2,Criou Alvo
6,1,15:11:00,1,1,0,1,Trocou de Pista
7,1,15:11:01,1,1,1,0,Trocou de Pista
8,1,15:11:02,1,1,0,1,Trocou de Pista
9,1,15:11:03,1,1,-1,0,Saiu da area do jogo
10,1,15:18:02,1,1,1,0,Criou Alvo
11,1,15:18:05,1,1,0,1,Trocou de Pista
12,1,15:18:05,1,1,-1,0,Saiu da area do jogo
13,1,15:30:11,1,1,1,0,Criou Alvo
14,1,15:30:11,1,1,0,1,Trocou de Pista
15,1,15:30:13,1,1,1,0,Trocou de Pista
16,1,15:30:13,1,1,2,1,Trocou de Pista
17,1,15:30:13,1,1,1,2,Trocou de Pista
18,1,15:30:14,1,1,0,1,Trocou de Pista
19,1,15:30:15,1,1,1,0,Trocou de Pista
20,1,15:30:15,1,1,2,1,Trocou de Pista
21,1,15:30:16,1,1,1,2,Trocou de Pista
22,1,15:30:17,1,1,0,1,Trocou de Pista
23,1,15:30:18,1,1,-1,0,Saiu da area do jogo
24,1,15:32:52,1,1,1,0,Criou Alvo
25,1,15:32:52,1,1,0,1,Trocou de Pista
26,1,15:32:53,1,1,1,0,Trocou de Pista
27,1,15:32:54,1,1,2,1,Trocou de Pista
28,1,15:32:55,1,1,1,2,Trocou de Pista
29,1,15:32:55,1,1,0,1,Trocou de Pista
30,1,15:32:56,1,1,-1,0,Saiu da area do jogo
31,1,15:35:15,1,1,1,1,Criou Alvo
32,1,15:35:19,1,1,0,1,Trocou de Pista
33,1,15:35:20,1,1,-1,0,Saiu da area do jogo
34,1,15:38:07,1,1,1,1,Criou Alvo
35,1,15:38:08,1,1,0,1,Trocou de Pista
36,1,15:38:09,1,1,-1,0,Saiu da area do jogo
37,1,15:45:15,1,1,1,1,Criou Alvo
38,1,15:45:15,1,1,0,1,Trocou de Pista
39,1,15:45:16,1,1,1,0,Trocou de Pista
40,1,15:45:17,1,1,0,1,Trocou de Pista
41,1,15:45:18,1,1,-1,0,Saiu da area do jogo
42,1,15:45:19,1,1,1,0,Trocou de Pista
43,1,15:45:20,1,1,0,1,Trocou de Pista
44,1,15:45:21,1,1,1,0,Trocou de Pista
45,1,15:45:21,1,1,0,1,Trocou de Pista
46,1,15:45:22,1,1,1,0,Trocou de Pista
47,1,15:45:22,1,1,2,1,Trocou de Pista
48,1,15:45:22,1,1,1,2,Trocou de Pista
49,1,15:45:23,1,1,0,1,Trocou de Pista
50,1,15:45:23,1,1,0,0,Criou Alvo
51,1,15:45:23,1,1,1,0,Trocou de Pista
52,1,15:45:24,1,1,0,1,Trocou de Pista
53,1,15:45:24,1,1,1,0,Trocou de Pista
54,1,15:45:25,1,1,2,1,Trocou de Pista
55,1,15:45:25,1,1,1,2,Trocou de Pista
56,1,15:45:25,1,1,0,1,Trocou de Pista
57,1,15:45:26,1,1,1,0,Trocou de Pista
58,1,15:45:26,1,1,2,1,Trocou de Pista
59,1,15:45:27,1,1,1,2,Trocou de Pista
60,1,15:45:27,1,1,0,1,Trocou de Pista
61,1,15:45:27,1,1,-1,0,Saiu da area do jogo
62,1,15:45:30,1,1,1,0,Trocou de Pista
63,1,15:45:30,1,1,2,1,Trocou de Pista
64,1,15:45:30,1,1,1,2,Trocou de Pista
65,1,15:45:30,1,1,0,1,Trocou de Pista
66,1,15:45:31,1,1,1,0,Trocou de Pista
67,1,15:45:31,1,1,2,1,Trocou de Pista
68,1,15:45:31,1,1,2,1,Criou Alvo
69,1,15:45:31,1,1,1,2,Trocou de Pista
70,1,15:45:32,1,1,0,1,Trocou de Pista
71,1,15:45:32,1,1,1,0,Trocou de Pista
72,1,15:45:32,1,1,2,1,Trocou de Pista
73,1,15:45:33,1,1,1,2,Trocou de Pista
74,1,15:45:33,1,1,0,1,Trocou de Pista
75,1,15:45:33,1,1,-1,0,Saiu da area do jogo
76,1,15:45:34,1,1,1,0,Trocou de Pista
77,1,15:45:34,1,1,1,1,Colidiu com Alvo
78,1,15:45:39,1,1,1,2,Criou Alvo
79,1,15:45:41,1,1,0,1,Trocou de Pista
80,1,15:45:41,1,1,1,0,Colidiu com Alvo
81,1,15:45:42,1,1,1,0,Trocou de Pista
82,1,15:45:47,1,1,1,1,Criou Alvo
83,1,15:45:48,1,1,1,1,Colidiu com Alvo
84,1,15:45:48,1,1,1,1,Controle UFE: Desabilita HUD
85,1,15:45:52,1,1,1,1,Controle UFE: Habilita HUD
86,1,15:45:54,1,1,2,1,Trocou de Pista
87,1,15:45:55,1,1,1,2,Colidiu com Alvo
88,1,15:45:55,1,1,2,0,Criou Alvo
89,1,15:45:56,1,1,1,2,Trocou de Pista
90,1,15:47:48,1,1,1,0,Criou Alvo
